participante_id;promocion_id;fecha_apertura
1;1;2021-01-09
2;1;2021-01-09
3;1;2021-01-09
4;1;2021-01-09
5;1;2021-01-09
6;1;2021-01-09
7;1;2021-01-09
8;1;2021-01-09
9;1;2021-01-09
10;1;2021-01-09
11;1;2021-01-09
12;1;2021-01-09
13;1;2021-01-09
14;1;2021-01-09
15;1;2021-01-09
16;1;2021-01-09
17;1;2021-01-09
18;1;2021-01-09
19;1;2021-01-09
20;1;2021-01-09
21;1;2021-01-09
22;1;2021-01-09
23;1;2021-01-09
24;1;2021-01-09
25;1;2021-01-09
26;1;2021-01-09
27;1;2021-01-09
28;1;2021-01-09
29;1;2021-01-09
30;1;2021-01-09
31;1;2021-01-09
32;1;2021-01-09
33;1;2021-01-09
34;1;2021-01-09
35;1;2021-01-09
36;1;2021-01-09
37;1;2021-01-09
38;1;2021-01-09
39;1;2021-01-09
40;1;2021-01-09
41;1;2021-01-09
42;1;2021-01-09
43;1;2021-01-09
44;1;2021-01-09
45;1;2021-01-09
46;1;2021-01-09
47;1;2021-01-09
48;1;2021-01-09
49;1;2021-01-09
50;1;2021-01-09
51;1;2021-01-09
52;1;2021-01-09
53;1;2021-01-09
54;1;2021-01-09
55;1;2021-01-09
56;1;2021-01-09
57;1;2021-01-09
58;1;2021-01-09
59;1;2021-01-09
60;1;2021-01-09
61;1;2021-01-09
62;1;2021-01-09
63;1;2021-01-09
64;1;2021-01-09
65;1;2021-01-09
66;1;2021-01-09
67;1;2021-01-09
68;1;2021-01-09
69;1;2021-01-09
70;1;2021-01-09
71;1;2021-01-09
72;1;2021-01-09
73;1;2021-01-09
74;1;2021-01-09
75;1;2021-01-09
76;1;2021-01-09
77;1;2021-01-09
78;1;2021-01-09
79;1;2021-01-09
80;1;2021-01-09
81;1;2021-01-09
82;1;2021-01-09
83;1;2021-01-09
84;1;2021-01-09
85;1;2021-01-09
86;1;2021-01-09
87;1;2021-01-09
88;1;2021-01-09
89;1;2021-01-09
90;1;2021-01-09
91;1;2021-01-09
92;1;2021-01-09
93;1;2021-01-09
94;1;2021-01-09
95;1;2021-01-09
96;1;2021-01-09
97;1;2021-01-09
98;1;2021-01-09
99;1;2021-01-09
100;1;2021-01-09
101;1;2021-01-09
102;1;2021-01-09
103;1;2021-01-09
104;1;2021-01-09
105;1;2021-01-09
106;1;2021-01-09
107;1;2021-01-09
108;1;2021-01-09
109;1;2021-01-09
110;1;2021-01-09
111;1;2021-01-09
112;1;2021-01-09
113;1;2021-01-09
114;1;2021-01-09
115;1;2021-01-09
116;1;2021-01-09
117;1;2021-01-09
118;1;2021-01-09
119;1;2021-01-09
120;1;2021-01-09
121;1;2021-01-09
122;1;2021-01-09
123;1;2021-01-09
124;1;2021-01-09
125;1;2021-01-09
126;1;2021-01-09
127;1;2021-01-09
128;1;2021-01-09
129;1;2021-01-09
130;1;2021-01-09
131;1;2021-01-09
132;1;2021-01-09
133;1;2021-01-09
134;1;2021-01-09
135;1;2021-01-09
136;1;2021-01-09
137;1;2021-01-09
138;1;2021-01-09
139;1;2021-01-09
140;1;2021-01-09
141;1;2021-01-09
142;1;2021-01-09
143;1;2021-01-09
144;1;2021-01-09
145;1;2021-01-09
146;1;2021-01-09
147;1;2021-01-09
148;1;2021-01-09
149;1;2021-01-09
150;1;2021-01-09
