participante_id;pg1_id;uds_pg1;fecha_resultado
1;2;13;2021-01-06
1;2;29;2021-01-08
1;1;9;2021-01-09
1;2;77;2021-01-10
1;2;48;2021-01-12
2;2;28;2021-01-06
2;1;52;2021-01-08
2;1;3;2021-01-09
2;1;58;2021-01-10
2;2;34;2021-01-12
3;1;73;2021-01-06
3;2;57;2021-01-08
3;2;85;2021-01-09
3;1;18;2021-01-10
3;1;57;2021-01-12
4;1;82;2021-01-06
4;1;78;2021-01-08
4;2;92;2021-01-09
4;2;86;2021-01-10
4;2;60;2021-01-12
5;1;74;2021-01-06
5;1;67;2021-01-08
5;2;70;2021-01-09
5;1;4;2021-01-10
5;1;29;2021-01-12
6;2;25;2021-01-06
6;1;43;2021-01-08
6;2;27;2021-01-09
6;1;71;2021-01-10
6;1;16;2021-01-12
7;1;59;2021-01-06
7;1;46;2021-01-08
7;1;38;2021-01-09
7;1;57;2021-01-10
7;1;16;2021-01-12
8;1;1;2021-01-06
8;1;56;2021-01-08
8;1;80;2021-01-09
8;1;24;2021-01-10
8;2;32;2021-01-12
9;1;52;2021-01-06
9;1;27;2021-01-08
9;2;16;2021-01-09
9;2;27;2021-01-10
9;1;87;2021-01-12
10;2;73;2021-01-06
10;2;17;2021-01-08
10;2;28;2021-01-09
10;2;59;2021-01-10
10;2;34;2021-01-12
11;2;2;2021-01-06
11;1;6;2021-01-08
11;1;95;2021-01-09
11;2;52;2021-01-10
11;1;86;2021-01-12
12;2;32;2021-01-06
12;2;55;2021-01-08
12;2;73;2021-01-09
12;1;64;2021-01-10
12;2;93;2021-01-12
13;1;38;2021-01-06
13;1;84;2021-01-08
13;1;88;2021-01-09
13;1;6;2021-01-10
13;2;1;2021-01-12
14;2;78;2021-01-06
14;1;34;2021-01-08
14;2;74;2021-01-09
14;2;18;2021-01-10
14;1;50;2021-01-12
15;1;93;2021-01-06
15;2;11;2021-01-08
15;2;47;2021-01-09
15;2;44;2021-01-10
15;1;49;2021-01-12
16;1;9;2021-01-06
16;2;9;2021-01-08
16;2;58;2021-01-09
16;2;79;2021-01-10
16;2;71;2021-01-12
17;1;53;2021-01-06
17;1;17;2021-01-08
17;2;19;2021-01-09
17;2;56;2021-01-10
17;2;70;2021-01-12
18;2;20;2021-01-06
